node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km,tipLabel
802,803,0.00949430617479052,40.9183074082279,-73.9050996618988,40.8864061916627,-73.907965713972,0.00949430617479052,0,1998.3517085481,1998.36120285427,3.55954524711039,NA
803,804,0.00641574776657095,40.8864061916627,-73.907965713972,40.8883750402208,-73.9156180716369,0.0159100539413615,0.00949430617479052,1998.36120285427,1998.36761860204,0.680301643003372,NA
804,805,0.00733017213877574,40.8883750402208,-73.9156180716369,40.8883569107837,-73.8960185760646,0.0232402260801372,0.0159100539413615,1998.36761860204,1998.37494877418,1.64948170317474,NA
805,806,0.144848732878202,40.8883569107837,-73.8960185760646,40.8912268521362,-73.8950729606234,0.168088958958339,0.0232402260801372,1998.37494877418,1998.51979750706,0.329255002557979,NA
806,762,1.217202492946,40.8912268521362,-73.8950729606234,41.002013596022,-73.9693050579088,1.38529145190434,0.168088958958339,1998.51979750706,1999.737,13.8227469757631,HM488128_1999.737_USA_CT_Fairfield_-73.611878_40.989086
806,807,0.477419826638499,40.8912268521362,-73.8950729606234,40.9538172865366,-73.8953508107516,0.645508785596839,0.168088958958339,1998.51979750706,1998.99721733369,6.96784867706712,NA
807,801,1.527382666307,40.9538172865366,-73.8953508107516,40.7120275363617,-74.2700716465181,2.17289145190384,0.645508785596839,1998.99721733369,2000.5246,41.4815478116263,KX547353_2000.5246_USA_NY_Suffolk_-73.029237_40.958582
807,808,0.02283096020534,40.9538172865366,-73.8953508107516,40.9583700047906,-73.9878491220896,0.668339745802179,0.645508785596839,1998.99721733369,1999.0200482939,7.79312087198665,NA
808,809,0.895358851437699,40.9583700047906,-73.9878491220896,40.8453712732455,-74.284524181503,1.56369859723988,0.668339745802179,1999.0200482939,1999.91540714534,27.9532964579942,NA
809,765,0.8031928546638,40.8453712732455,-74.284524181503,40.8584166779669,-74.1750999109895,2.36689145190368,1.56369859723988,1999.91540714534,2000.7186,9.3278924027347,HM488132_2000.7186_USA_CT_Fairfield_-73.657938_40.982695
809,810,0.112810094145601,40.8453712732455,-74.284524181503,40.8629667169123,-74.2984896522996,1.67650869138548,1.56369859723988,1999.91540714534,2000.02821723948,2.28466309631722,NA
810,766,0.638482760518299,40.8629667169123,-74.2984896522996,40.8927213208413,-74.2025142645329,2.31499145190378,1.67650869138548,2000.02821723948,2000.6667,8.73122399079524,KX547519_2000.6667_USA_NY_Westchester_-73.701869_40.944266
810,811,0.161857317692299,40.8629667169123,-74.2984896522996,43.3714080101978,-74.7656111657232,1.83836600907778,1.67650869138548,2000.02821723948,2000.19007455717,281.899492359404,NA
811,763,1.522225442826,43.3714080101978,-74.7656111657232,43.4814417737875,-74.7867208999413,3.36059145190378,1.83836600907778,2000.19007455717,2001.7123,12.3677122369715,KJ501288_2001.7123_USA_DC_DistrictofColumbia_-76.948839_38.919233
811,764,1.560625442826,43.3714080101978,-74.7656111657232,43.6510114373264,-75.7019392679864,3.39899145190378,1.83836600907778,2000.19007455717,2001.7507,81.7526180335799,KJ501289_2001.7507_USA_DC_DistrictofColumbia_-76.989687_38.864771
808,9,1.701251706102,40.9583700047906,-73.9878491220896,41.3094432113276,-75.199774913195,2.36959145190418,0.668339745802179,1999.0200482939,2000.7213,108.871007566875,HM488131_2000.7213_USA_CT_NewHaven_-72.653052_41.213122
805,812,0.160960933597202,40.8883569107837,-73.8960185760646,40.8930829135964,-74.1158227460003,0.18420115967734,0.0232402260801372,1998.37494877418,1998.53590970777,18.5053897485799,NA
812,2,0.464090292226398,40.8930829135964,-74.1158227460003,40.8393089407861,-73.8759400111678,0.648291451903738,0.18420115967734,1998.53590970777,1999,21.0636931249918,FJ151394_1999_USA_NY_NewYork_-73.939366_40.791554
812,1,1.118890292226,40.8930829135964,-74.1158227460003,42.8521454867797,-84.072777597826,1.30309145190334,0.18420115967734,1998.53590970777,1999.6548,853.129604580903,AF202541_1999.6548_USA_NY_Madison_-75.354501_42.860541
804,813,0.00192933528170158,40.8883750402208,-73.9156180716369,40.8767525401991,-73.8555043010469,0.0178393892230631,0.0159100539413615,1998.36761860204,1998.36954793732,5.22239509487322,NA
813,814,0.707541110375502,40.8767525401991,-73.8555043010469,40.8423810855624,-73.8487334363153,0.725380499598565,0.0178393892230631,1998.36954793732,1999.0770890477,3.86859759486488,NA
